,F,P
T2_original_glcm_SumAverage,1.2786451114434314,0.2596554997445297
ADC_original_firstorder_10Percentile,46.43124778478385,1.3778708592785331e-10
ADC_original_firstorder_90Percentile,33.62268064890619,2.9479056180009705e-08
ADC_original_firstorder_Energy,33.94619516918825,2.562838797872713e-08
ADC_original_firstorder_Entropy,48.381146952765576,6.270855297754044e-11
ADC_original_firstorder_InterquartileRange,2.555671262809816,0.11165299734210073
ADC_original_firstorder_Kurtosis,3.583016317509491,0.05997787362628178
ADC_original_firstorder_Maximum,6.416682674621006,0.01215910587267098
ADC_original_firstorder_Mean,46.7010612335245,1.2351226348504035e-10
ADC_original_firstorder_MeanAbsoluteDeviation,5.337487708623568,0.022005782419095985
ADC_original_firstorder_Median,46.35822826963597,1.4192981845051876e-10
ADC_original_firstorder_Minimum,50.22384154649742,3.000185834056067e-11
ADC_original_firstorder_Range,33.19983824716172,3.5410545709969274e-08
ADC_original_firstorder_RobustMeanAbsoluteDeviation,3.141546213532706,0.07801295567923085
ADC_original_firstorder_RootMeanSquared,46.85660543157161,1.1597273253325468e-10
ADC_original_firstorder_Skewness,3.196259943889145,0.07548916451427985
ADC_original_firstorder_Uniformity,32.26866809541471,5.310313740913942e-08
ADC_original_firstorder_Variance,0.5448096762152547,0.4614074688278058
ADC_original_glcm_Autocorrelation,1.0580911459761417,0.30503120202793116
ADC_original_glcm_ClusterProminence,1.3130845492158862,0.2533580711552223
ADC_original_glcm_ClusterShade,1.6996512750904935,0.19399848390710497
ADC_original_glcm_ClusterTendency,0.12764801864601422,0.7213017642319024
ADC_original_glcm_Contrast,25.76145574018691,9.579296955322277e-07
ADC_original_glcm_Correlation,74.01434068640317,3.742250408896708e-15
ADC_original_glcm_DifferenceAverage,50.893337870517335,2.2988288354123446e-11
ADC_original_glcm_DifferenceEntropy,51.321229001098175,1.939934499216861e-11
ADC_original_glcm_DifferenceVariance,12.164584577780781,0.0006121403677339283
ADC_original_glcm_Id,63.95625873592011,1.4941246419605132e-13
ADC_original_glcm_Idm,58.70054077423131,1.0939319703421642e-12
ADC_original_glcm_Idmn,12.728041233059072,0.0004617157495467183
ADC_original_glcm_Idn,8.68839375507077,0.003626883103508262
ADC_original_glcm_Imc1,2.0495805519682473,0.1539821849120266
ADC_original_glcm_Imc2,5.018701224680933,0.02629810876161612
ADC_original_glcm_InverseVariance,69.59269107357368,1.8566217816428637e-14
ADC_original_glcm_JointAverage,5.965724096021303,0.015552648897151649
ADC_original_glcm_JointEnergy,0.18683747209996224,0.6660792753233857
ADC_original_glcm_JointEntropy,24.272384656095266,1.886742947510222e-06
ADC_original_glcm_MaximumProbability,9.26755851682007,0.002682267688982503
ADC_original_glcm_SumEntropy,5.723450256513393,0.017769299227105365
ADC_original_glcm_SumSquares,0.2991177233658428,0.5851134386966889
ADC_original_glrlm_GrayLevelNonUniformity,28.43548437338846,2.8796979696918574e-07
ADC_original_glrlm_GrayLevelNonUniformityNormalized,31.92517092584974,6.169769068034872e-08
ADC_original_glrlm_HighGrayLevelRunEmphasis,2.7426634228384765,0.09944403354432786
ADC_original_glrlm_LongRunEmphasis,51.59084205695007,1.743460601461997e-11
ADC_original_glrlm_LongRunHighGrayLevelEmphasis,1.1262803969881725,0.28999198878721166
ADC_original_glrlm_LongRunLowGrayLevelEmphasis,18.63029094601485,2.6147809966621187e-05
ADC_original_glrlm_LowGrayLevelRunEmphasis,23.219150330442087,3.05915656555582e-06
ADC_original_glrlm_RunEntropy,41.630539722140156,9.883210820888809e-10
ADC_original_glrlm_RunLengthNonUniformity,42.770334179201186,6.164481214172925e-10
ADC_original_glrlm_RunLengthNonUniformityNormalized,80.52820699174259,3.724524966375676e-16
ADC_original_glrlm_RunPercentage,71.02189850567754,1.1027782201562236e-14
ADC_original_glrlm_RunVariance,43.69554221261593,4.2105963619361766e-10
ADC_original_glrlm_ShortRunEmphasis,70.44104414025654,1.3622945067056496e-14
ADC_original_glrlm_ShortRunLowGrayLevelEmphasis,23.82115871466368,2.319853851884545e-06
ADC_original_glszm_GrayLevelNonUniformity,36.64608644237258,8.04423945347552e-09
ADC_original_glszm_GrayLevelNonUniformityNormalized,42.82755358694255,6.020545745865393e-10
ADC_original_glszm_GrayLevelVariance,0.8310797308039661,0.363179782554403
ADC_original_glszm_HighGrayLevelZoneEmphasis,4.451375864999199,0.0362553607250929
ADC_original_glszm_LargeAreaEmphasis,6.556583298561033,0.011270358849041297
ADC_original_glszm_LargeAreaHighGrayLevelEmphasis,8.899743791688216,0.003247855945876158
ADC_original_glszm_LargeAreaLowGrayLevelEmphasis,1.8207851416338765,0.1789146307344486
ADC_original_glszm_LowGrayLevelZoneEmphasis,34.31515897882041,2.1853385593691713e-08
ADC_original_glszm_SizeZoneNonUniformity,42.068232957783444,8.242083456299819e-10
ADC_original_glszm_SizeZoneNonUniformityNormalized,12.291704416149967,0.0005743271391624768
ADC_original_glszm_SmallAreaEmphasis,11.897358625970655,0.0007001324390752165
ADC_original_glszm_SmallAreaHighGrayLevelEmphasis,4.2543492297648795,0.0405861753506473
ADC_original_glszm_SmallAreaLowGrayLevelEmphasis,45.39572495573923,2.0993315325831488e-10
ADC_original_glszm_ZoneEntropy,105.8566086512233,8.065510862513956e-20
ADC_original_glszm_ZonePercentage,22.51355339413496,4.236545203333949e-06
ADC_original_glszm_ZoneVariance,5.10396069458293,0.025070505417841265
ADC_original_shape_Elongation,19.3863982669033,1.827448847783126e-05
ADC_original_shape_Flatness,319.8813462379905,8.826909301683146e-42
ADC_original_shape_LeastAxis,220.06977531769618,4.829102036183798e-33
ADC_original_shape_MajorAxis,18.841087535409503,2.3657683784127418e-05
ADC_original_shape_Maximum2DDiameterColumn,57.54373657541435,1.7061024081810036e-12
ADC_original_shape_Maximum2DDiameterRow,30.427693551363582,1.190563119510518e-07
ADC_original_shape_Maximum2DDiameterSlice,37.790191259975906,4.9476206222744615e-09
ADC_original_shape_Maximum3DDiameter,47.092913290367896,1.053992942505173e-10
ADC_original_shape_MinorAxis,26.009511418296434,8.561645643615655e-07
ADC_original_shape_Sphericity,59.961986843815154,6.75532604395265e-13
ADC_original_shape_SurfaceArea,49.984103616792076,3.301006616420136e-11
ADC_original_shape_SurfaceVolumeRatio,56.94139759751553,2.1523019452766153e-12
ADC_original_shape_Volume,35.02157804869221,1.6121571343770048e-08
DWI_original_firstorder_10Percentile,0.1738683624008453,0.6771933659365252
DWI_original_firstorder_90Percentile,24.060582335741795,2.0787765166676765e-06
DWI_original_firstorder_Energy,11.283889766855859,0.0009543399759777181
DWI_original_firstorder_Entropy,20.752048638054603,9.614705932957345e-06
DWI_original_firstorder_InterquartileRange,49.969078790681415,3.320845931396516e-11
DWI_original_firstorder_Kurtosis,2.31823896968181,0.12961957254056725
DWI_original_firstorder_Maximum,40.04707998358857,1.9127355512352172e-09
DWI_original_firstorder_Mean,7.229100156746476,0.007846793960463823
DWI_original_firstorder_MeanAbsoluteDeviation,63.26368973366922,1.937251718328628e-13
DWI_original_firstorder_Median,6.7863581817110425,0.00995386605772968
DWI_original_firstorder_Minimum,25.697918008100313,9.859145683239766e-07
DWI_original_firstorder_Range,89.94369963693563,1.4710838260183494e-17
DWI_original_firstorder_RobustMeanAbsoluteDeviation,52.314255005086174,1.3099908746169751e-11
DWI_original_firstorder_RootMeanSquared,8.961737014084857,0.003144579356206858
DWI_original_firstorder_Skewness,1.1828562478971683,0.27822944214812756
DWI_original_firstorder_Uniformity,16.2264426161531,8.27913293400833e-05
DWI_original_firstorder_Variance,40.04478816021176,1.9145717197094807e-09
DWI_original_glcm_Autocorrelation,21.106955098303796,8.144873385502904e-06
DWI_original_glcm_ClusterProminence,8.224024098798207,0.004627736980490607
DWI_original_glcm_ClusterShade,0.02792961733971798,0.8674619968490208
DWI_original_glcm_ClusterTendency,8.4648436891279,0.004077498273743928
DWI_original_glcm_Contrast,23.218536624129893,3.0600210737518248e-06
DWI_original_glcm_Correlation,12.839899611386294,0.0004366577880911476
DWI_original_glcm_DifferenceEntropy,18.23243106403047,3.159743085539721e-05
DWI_original_glcm_DifferenceVariance,19.632025543894933,1.6273554741067334e-05
DWI_original_glcm_Idmn,11.068055877395908,0.0010647383948011633
DWI_original_glcm_Idn,17.073075593482965,5.503433938768906e-05
DWI_original_glcm_Imc1,5.217913004435462,0.023522775646800966
DWI_original_glcm_Imc2,8.77270039651573,0.0034705219406375412
DWI_original_glcm_JointAverage,21.664901687757386,6.280045325258065e-06
DWI_original_glcm_JointEnergy,14.335200853748304,0.00020826989175393008
DWI_original_glcm_JointEntropy,16.100098275003585,8.801444619587597e-05
DWI_original_glcm_MaximumProbability,13.962552463881037,0.0002502307258327498
DWI_original_glcm_SumEntropy,13.869820244536466,0.00026195016013171735
DWI_original_glcm_SumSquares,13.352099318902473,0.0003384600528744229
DWI_original_glrlm_GrayLevelNonUniformity,78.82199682310907,6.776516320940473e-16
DWI_original_glrlm_GrayLevelNonUniformityNormalized,6.803786496462292,0.00986074269640794
DWI_original_glrlm_GrayLevelVariance,9.987988053787257,0.0018488305336873566
DWI_original_glrlm_HighGrayLevelRunEmphasis,25.29203961916218,1.1853336007979565e-06
DWI_original_glrlm_LongRunEmphasis,64.8702711403421,1.0617858002806022e-13
DWI_original_glrlm_LongRunHighGrayLevelEmphasis,29.54779494670381,1.756434355205752e-07
DWI_original_glrlm_LongRunLowGrayLevelEmphasis,38.721416393917,3.3381909831592197e-09
DWI_original_glrlm_LowGrayLevelRunEmphasis,21.51458056108121,6.735101192407581e-06
DWI_original_glrlm_RunEntropy,12.936515536507756,0.0004161319097242678
DWI_original_glrlm_RunLengthNonUniformity,82.76422905413146,1.7103349199582191e-16
DWI_original_glrlm_RunLengthNonUniformityNormalized,112.57536754306948,9.783380146699411e-21
DWI_original_glrlm_RunPercentage,225.7209891584963,1.358933811256849e-33
DWI_original_glrlm_RunVariance,34.91483729289951,1.687863678767453e-08
DWI_original_glrlm_ShortRunEmphasis,201.66330574359074,3.415163126267444e-31
DWI_original_glrlm_ShortRunHighGrayLevelEmphasis,117.06521994189752,2.455725256532596e-21
DWI_original_glrlm_ShortRunLowGrayLevelEmphasis,54.07319551729939,6.563664081920808e-12
DWI_original_glszm_GrayLevelNonUniformity,21.527959806797508,6.693277122180795e-06
DWI_original_glszm_GrayLevelNonUniformityNormalized,22.95815296562892,3.450111337437205e-06
DWI_original_glszm_GrayLevelVariance,35.18650264643021,1.5018828212144257e-08
DWI_original_glszm_HighGrayLevelZoneEmphasis,22.15062967650964,5.011882700227374e-06
DWI_original_glszm_LargeAreaEmphasis,12.140627124500181,0.0006195464600490479
DWI_original_glszm_LargeAreaHighGrayLevelEmphasis,22.30545561180789,4.664894926704765e-06
DWI_original_glszm_LargeAreaLowGrayLevelEmphasis,4.519572370524736,0.03487248750862072
DWI_original_glszm_LowGrayLevelZoneEmphasis,12.186145873123532,0.0006055522480476823
DWI_original_glszm_SizeZoneNonUniformity,6.034062570559758,0.01498091750479554
DWI_original_glszm_SizeZoneNonUniformityNormalized,34.52746864285276,1.9941630169821925e-08
DWI_original_glszm_SmallAreaEmphasis,3.093211844436728,0.08031877216553882
DWI_original_glszm_SmallAreaHighGrayLevelEmphasis,3.7608867482305186,0.05402816059551198
DWI_original_glszm_SmallAreaLowGrayLevelEmphasis,3.0307447112249886,0.08340921647280254
DWI_original_glszm_ZoneEntropy,44.08249155235927,3.5919380491139657e-10
DWI_original_glszm_ZonePercentage,17.174324094715978,5.242074505017327e-05
DWI_original_glszm_ZoneVariance,13.983173681112103,0.00024769802535527005
T2_original_firstorder_10Percentile,47.20972352270902,1.0053843373469199e-10
T2_original_firstorder_90Percentile,32.842482766790496,4.135849503934315e-08
T2_original_firstorder_Energy,15.249856999562832,0.0001330664477351101
T2_original_firstorder_Entropy,1.5491525230434837,0.2148787083992463
T2_original_firstorder_InterquartileRange,0.006722295518208752,0.9347460771990294
T2_original_firstorder_Kurtosis,1.5949583191129064,0.20825268741390546
T2_original_firstorder_Maximum,6.216446189487775,0.013559518515685735
T2_original_firstorder_Mean,40.229546301787316,1.772122304467237e-09
T2_original_firstorder_MeanAbsoluteDeviation,0.005674192155070018,0.9400380062495859
T2_original_firstorder_Median,40.66467529838367,1.4775352662025313e-09
T2_original_firstorder_Minimum,62.808410127132575,2.298913577118907e-13
T2_original_firstorder_Range,19.09497334498068,2.0975543325220726e-05
T2_original_firstorder_RobustMeanAbsoluteDeviation,0.02594777233013043,0.8722085834628243
T2_original_firstorder_Skewness,5.8624234139150335,0.016460332572042453
T2_original_firstorder_TotalEnergy,14.57472035742727,0.00018515224723909116
T2_original_firstorder_Uniformity,0.8547969292311695,0.35643663389999136
T2_original_firstorder_Variance,0.02020601925651349,0.8871221799660167
T2_original_glcm_Autocorrelation,0.36818994233499536,0.5447571404917301
T2_original_glcm_ClusterProminence,0.7076807420572431,0.4013310004746732
T2_original_glcm_ClusterShade,1.7358882194220413,0.18933519785872177
T2_original_glcm_ClusterTendency,2.369025832259797,0.1255203298070278
T2_original_glcm_Contrast,1.7163673850467247,0.19183073313513632
T2_original_glcm_Correlation,17.917939338506716,3.67123887748462e-05
T2_original_glcm_DifferenceAverage,1.7233356665346586,0.19093550295324715
T2_original_glcm_DifferenceEntropy,0.11406524616696934,0.7359560887828955
T2_original_glcm_DifferenceVariance,0.46018983081992837,0.4984064489911916
T2_original_glcm_Id,1.854935540952293,0.1749124791386731
T2_original_glcm_Idmn,10.940856466653257,0.0011358292213889173
T2_original_glcm_Idn,10.858527593913774,0.0011844111235491696
T2_original_glcm_Imc1,1.4835595932562982,0.224812588380691
T2_original_glcm_Imc2,10.553938945716505,0.0013833909861709491
T2_original_glcm_InverseVariance,0.8328651424911647,0.3626660403410922
T2_original_glcm_JointAverage,1.2786451114434294,0.2596554997445297
T2_original_glcm_JointEnergy,0.11452060461915121,0.7354494452666359
T2_original_glcm_JointEntropy,0.3627863831366928,0.5477208062048387
T2_original_glcm_MaximumProbability,0.9176958367533293,0.33936561582646296
T2_original_glcm_SumEntropy,1.3661506154531906,0.2440199556755546
T2_original_glcm_SumSquares,0.30714342487209756,0.5801262847999769
T2_original_glrlm_GrayLevelNonUniformity,30.44841699913699,1.1797369103957563e-07
T2_original_glrlm_GrayLevelNonUniformityNormalized,0.07493959786627744,0.7845898713116533
T2_original_glrlm_GrayLevelVariance,0.02596530931841393,0.872165780759673
T2_original_glrlm_HighGrayLevelRunEmphasis,1.3485590682010102,0.24706784043164748
T2_original_glrlm_LongRunEmphasis,33.14441073256164,3.6272959753530714e-08
T2_original_glrlm_LongRunHighGrayLevelEmphasis,0.3462675111166753,0.5569712859680543
T2_original_glrlm_LongRunLowGrayLevelEmphasis,17.01727790665427,5.653089212053481e-05
T2_original_glrlm_LowGrayLevelRunEmphasis,13.747571847949933,0.0002782590823447375
T2_original_glrlm_RunEntropy,1.7331513701768355,0.18968276821865715
T2_original_glrlm_RunLengthNonUniformity,51.06299494864451,2.1491141672402154e-11
T2_original_glrlm_RunLengthNonUniformityNormalized,46.85427897209015,1.160819975840081e-10
T2_original_glrlm_RunPercentage,43.52107181542292,4.523812622028049e-10
T2_original_glrlm_RunVariance,28.305253046536226,3.0519485470156904e-07
T2_original_glrlm_ShortRunEmphasis,44.35971463798083,3.206012451265275e-10
T2_original_glrlm_ShortRunHighGrayLevelEmphasis,2.4743470327903516,0.11747355247344762
T2_original_glrlm_ShortRunLowGrayLevelEmphasis,11.946147731358536,0.0006831541977809645
T2_original_glszm_GrayLevelNonUniformity,27.16136816520261,5.09355715965435e-07
T2_original_glszm_GrayLevelNonUniformityNormalized,11.562491764590824,0.0008289000486713088
T2_original_glszm_GrayLevelVariance,18.336462675663533,3.0069805903263028e-05
T2_original_glszm_HighGrayLevelZoneEmphasis,7.064779616757075,0.008569096344962347
T2_original_glszm_LargeAreaEmphasis,6.097257577075574,0.014471653189614212
T2_original_glszm_LargeAreaHighGrayLevelEmphasis,8.138867487822903,0.004840115858921539
T2_original_glszm_LargeAreaLowGrayLevelEmphasis,5.3316813569632755,0.02207702857229658
T2_original_glszm_LowGrayLevelZoneEmphasis,3.618860789595951,0.05872468919208288
T2_original_glszm_SizeZoneNonUniformity,24.70400217093555,1.549186638112108e-06
T2_original_glszm_SizeZoneNonUniformityNormalized,3.8221166782987654,0.052128812212081294
T2_original_glszm_SmallAreaEmphasis,1.5608786238496184,0.21315878019684795
T2_original_glszm_SmallAreaHighGrayLevelEmphasis,6.0305523134085375,0.015009745744601904
T2_original_glszm_SmallAreaLowGrayLevelEmphasis,3.0125316029417712,0.08433447635961358
T2_original_glszm_ZoneEntropy,41.279647058823414,1.1435238860459552e-09
T2_original_glszm_ZonePercentage,75.48361533826785,2.212022302633616e-15
